c1;c2;c3;c4;c5;score_cv;score_test
4;5;0,5;0,9;0,9;0,811241875;0,81838565
4;5;0,6;0,6;0,6;0,7887985;0,81838565
4;5;0,7;0,5;0,6;0,793141125;0,81838565
4;5;0,7;0,6;0,9;0,793262875;0,81838565
4;5;0,8;0,5;0,5;0,79549525;0,81838565
4;5;0,8;0,8;0,8;0,8090505;0,81838565
4;6;0,2;0,9;0,7;0,8271105;0,81838565
4;6;0,2;0,9;0,8;0,822605375;0,81838565
4;6;0,5;0,9;0,4;0,82256475;0,81838565
4;6;0,6;0,6;0,7;0,802232;0,81838565
4;6;0,9;0,8;0,5;0,818019625;0,81838565
4;7;0,2;0,9;0,8;0,8158685;0,81838565
4;7;0,4;0,6;0,6;0,820251625;0,81838565
4;7;0,4;0,9;0,4;0,822646;0,81838565
4;7;0,5;0,9;0,4;0,8202515;0,81838565
4;7;0,6;0,9;0,5;0,815827875;0,81838565
4;7;0,7;0,6;0,8;0,80685875;0,81838565
4;7;0,7;0,9;0,4;0,804626625;0,81838565
4;7;0,8;0,6;0,7;0,79772725;0,81838565
4;8;0,2;0,9;0,8;0,818100625;0,81838565
4;8;0,4;0,6;0,6;0,822524375;0,81838565
4;8;0,6;0,9;0,6;0,829301875;0,81838565
4;9;0,4;0,6;0,4;0,824837625;0,81838565
4;9;0,4;0,6;0,6;0,829301875;0,81838565
4;9;0,4;0,9;0,4;0,81359575;0,81838565
4;9;0,6;0,6;0,5;0,81582775;0,81838565
4;10;0,4;0,6;0,4;0,8226055;0,81838565
4;10;0,4;0,6;0,6;0,827069625;0,81838565
4;10;0,6;0,9;0,9;0,817978875;0,81838565
4;11;0,4;0,6;0,4;0,8226055;0,81838565
4;11;0,4;0,6;0,6;0,829301875;0,81838565
4;11;0,6;0,9;0,9;0,817978875;0,81838565
4;11;0,7;0,9;0,6;0,813676875;0,81838565
4;12;0,4;0,6;0,4;0,8226055;0,81838565
4;12;0,4;0,6;0,6;0,829301875;0,81838565
4;12;0,6;0,9;0,9;0,817978875;0,81838565
4;12;0,7;0,6;0,4;0,797849;0,81838565
4;12;0,7;0,9;0,6;0,813676875;0,81838565
4;13;0,4;0,6;0,4;0,8226055;0,81838565
4;13;0,4;0,6;0,6;0,829301875;0,81838565
4;13;0,6;0,9;0,9;0,817978875;0,81838565
4;13;0,7;0,6;0,4;0,797849;0,81838565
4;13;0,7;0,9;0,6;0,811404125;0,81838565
4;4;0,4;0,9;0,8;0,81810075;0,816143498
4;4;0,4;0,9;0,9;0,820332875;0,816143498
4;4;0,5;0,4;0,9;0,791030875;0,816143498
4;4;0,5;0,5;0,4;0,8134335;0,816143498
4;4;0,5;0,8;0,9;0,820211;0,816143498
4;4;0,5;0,9;0,5;0,8134335;0,816143498
4;4;0,5;0,9;0,7;0,827110375;0,816143498
4;4;0,5;0,9;0,8;0,83157475;0,816143498
4;4;0,8;0,6;0,7;0,80231325;0,816143498
4;4;0,8;0,7;0,5;0,818019375;0,816143498
4;5;0,5;0,9;0,6;0,81578725;0,816143498
4;5;0,5;0,9;0,7;0,822483625;0,816143498
4;5;0,5;0,9;0,8;0,822483625;0,816143498
4;5;0,6;0,6;0,9;0,809131375;0,816143498
4;5;0,6;0,9;0,6;0,820292125;0,816143498
4;5;0,7;0,6;0,7;0,804545375;0,816143498
4;5;0,7;0,6;0,8;0,802272625;0,816143498
4;6;0,2;0,9;0,4;0,809009875;0,816143498
4;6;0,2;0,9;0,9;0,820332625;0,816143498
4;6;0,5;0,9;0,6;0,818100625;0,816143498
4;6;0,6;0,6;0,6;0,809131375;0,816143498
4;6;0,6;0,9;0,9;0,820129875;0,816143498
4;6;0,7;0,6;0,5;0,799918875;0,816143498
4;6;0,7;0,9;0,9;0,8134335;0,816143498
4;6;0,8;0,9;0,9;0,8225245;0,816143498
4;7;0,2;0,9;0,4;0,813595875;0,816143498
4;7;0,4;0,6;0,4;0,8225245;0,816143498
4;7;0,6;0,9;0,4;0,83372575;0,816143498
4;7;0,6;0,9;0,8;0,8180195;0,816143498
4;7;0,7;0,6;0,7;0,80016225;0,816143498
4;7;0,7;0,9;0,6;0,8136365;0,816143498
4;7;0,9;0,8;0,6;0,81574675;0,816143498
4;7;0,9;0,9;0,9;0,8223215;0,816143498
4;8;0,5;0,6;0,6;0,81351475;0,816143498
4;9;0,2;0,9;0,8;0,8158685;0,816143498
4;9;0,4;0,9;0,9;0,82037325;0,816143498
4;10;0,2;0,9;0,8;0,81814125;0,816143498
4;10;0,4;0,9;0,9;0,82037325;0,816143498
4;10;0,6;0,9;0,4;0,820292125;0,816143498
4;10;0,7;0,8;0,5;0,7999595;0,816143498
4;11;0,2;0,9;0,8;0,81814125;0,816143498
4;11;0,4;0,9;0,9;0,82037325;0,816143498
4;11;0,6;0,9;0,4;0,81582775;0,816143498
4;11;0,7;0,9;0,7;0,8248375;0,816143498
4;12;0,2;0,9;0,8;0,81814125;0,816143498
4;12;0,4;0,9;0,9;0,82037325;0,816143498
4;12;0,6;0,9;0,4;0,81582775;0,816143498
4;12;0,7;0,9;0,7;0,82256475;0,816143498
4;13;0,2;0,9;0,8;0,81814125;0,816143498
4;13;0,4;0,9;0,9;0,82037325;0,816143498
4;13;0,6;0,9;0,4;0,81582775;0,816143498
4;13;0,7;0,9;0,7;0,82256475;0,816143498
4;4;0,2;0,9;0,9;0,809050375;0,813901345
4;4;0,5;0,8;0,8;0,820211;0,813901345
4;4;0,8;0,6;0,6;0,799959375;0,813901345
4;4;0,8;0,9;0,4;0,820129875;0,813901345
4;4;0,8;0,9;0,5;0,8180195;0,813901345
4;4;0,9;0,6;0,7;0,8157875;0,813901345
4;5;0,2;0,9;0,4;0,811323125;0,813901345
4;5;0,2;0,9;0,5;0,8158685;0,813901345
4;5;0,2;0,9;0,6;0,8158685;0,813901345
4;5;0,2;0,9;0,7;0,8091315;0,813901345
4;5;0,2;0,9;0,8;0,809091;0,813901345
4;5;0,4;0,8;0,8;0,804586;0,813901345
4;5;0,4;0,9;0,5;0,81599025;0,813901345
4;5;0,6;0,6;0,7;0,793262875;0,813901345
4;5;0,6;0,8;0,8;0,822565;0,813901345
4;5;0,6;0,9;0,5;0,81797875;0,813901345
4;5;0,6;0,9;0,7;0,822402625;0,813901345
4;5;0,6;0,9;0,8;0,82248375;0,813901345
4;5;0,6;0,9;0,9;0,813555125;0,813901345
4;5;0,7;0,9;0,9;0,813474125;0,813901345
4;5;0,9;0,5;0,9;0,7776785;0,813901345
4;6;0,3;0,9;0,9;0,811323125;0,813901345
4;6;0,4;0,9;0,7;0,82029225;0,813901345
4;6;0,5;0,8;0,9;0,813555125;0,813901345
4;6;0,5;0,9;0,8;0,813474125;0,813901345
4;6;0,6;0,5;0,9;0,804586125;0,813901345
4;6;0,6;0,9;0,5;0,815706;0,813901345
4;6;0,7;0,6;0,6;0,804585875;0,813901345
4;6;0,9;0,8;0,4;0,8112825;0,813901345
4;7;0,2;0,9;0,9;0,815827875;0,813901345
4;7;0,4;0,6;0,5;0,82037325;0,813901345
4;7;0,5;0,6;0,9;0,806818125;0,813901345
4;7;0,5;0,9;0,5;0,813514625;0,813901345
4;7;0,6;0,5;0,6;0,797767875;0,813901345
4;7;0,6;0,5;0,9;0,804505;0,813901345
4;7;0,6;0,6;0,8;0,8000405;0,813901345
4;7;0,6;0,6;0,9;0,8134335;0,813901345
4;7;0,7;0,9;0,7;0,820211;0,813901345
4;7;0,8;0,9;0,7;0,822483875;0,813901345
4;7;0,9;0,9;0,8;0,8268265;0,813901345
4;8;0,2;0,9;0,9;0,815827875;0,813901345
4;8;0,4;0,6;0,5;0,815828;0,813901345
4;8;0,4;0,9;0,9;0,822605375;0,813901345
4;8;0,5;0,6;0,9;0,809090875;0,813901345
4;8;0,6;0,5;0,6;0,77987;0,813901345
4;8;0,6;0,5;0,8;0,8001625;0,813901345
4;8;0,6;0,6;0,8;0,80454525;0,813901345
4;8;0,7;0,6;0,7;0,809131375;0,813901345
4;8;0,7;0,6;0,8;0,804667;0,813901345
4;8;0,7;0,8;0,9;0,82244325;0,813901345
4;8;0,9;0,8;0,7;0,81574675;0,813901345
4;9;0,2;0,9;0,9;0,81359575;0,813901345
4;9;0,4;0,6;0,5;0,8226055;0,813901345
4;9;0,6;0,5;0,6;0,784334375;0,813901345
